area,area_title,occCode,occTitle,jobs_1000,h_mean, a_mean , a_pct25 , a_median , a_pct75 , a_pct90 ,Rent50_3,Rent50_4,county,county_town_name,pop2010,state_alpha,ratio
10500,"Albany, GA",15-1133,"Software Developers, Systems Software",**,43.76,91020,67960,94130,112420,126410,1050,1078,95,Dougherty County,94565,GA,0.1338574312
12540,"Bakersfield-Delano, CA",15-1133,"Software Developers, Systems Software",1.871,54.4,113160,87090,113260,137670,165460,1274,1539,29,Kern County,839631,CA,0.1349814586
25860,"Hickory-Lenoir-Morganton, NC",15-1133,"Software Developers, Systems Software",0.256,37,76950,61950,74290,91560,109770,836,1040,35,Catawba County,154358,NC,0.1350383632
18140,"Columbus, OH",15-1133,"Software Developers, Systems Software",2.03,46.88,97500,79810,97420,115790,128690,1098,1270,49,Franklin County,1163414,OH,0.1352494354
37860,"Pensacola-Ferry Pass-Brent, FL",15-1133,"Software Developers, Systems Software",0.724,51.44,107000,76820,106240,120440,165650,1200,1556,33,Escambia County,297619,FL,0.1355421687
46540,"Utica-Rome, NY",15-1133,"Software Developers, Systems Software",1.009,48.25,100360,82870,97660,119490,144440,1105,1241,65,Oneida County,234878,NY,0.1357771862
30980,"Longview, TX",15-1133,"Software Developers, Systems Software",0.656,45.9,95470,75330,94330,117250,135070,1071,1376,183,Gregg County,121730,TX,0.136245097
17980,"Columbus, GA-AL",15-1133,"Software Developers, Systems Software",3.309,45.25,94110,80470,92350,107960,122440,1053,1353,215,Muscogee County,189885,GA,0.1368272875
17660,"Coeur d'Alene, ID",15-1133,"Software Developers, Systems Software",1.264,44.97,93530,81240,98540,110260,117400,1125,1386,55,Kootenai County,138494,ID,0.137000203
40340,"Rochester, MN",15-1133,"Software Developers, Systems Software",**,49.52,103000,95230,105750,116000,129340,1208,1598,109,Olmsted County,144248,MN,0.1370780142
